HeatingDemand,HeatingEnergy,CoolingDemand,CoolingEnergy,IndoorAir,OutsideTemp,SolarGains,COP
4402.341804116305,5368.709517215007,0.0,0.0,20.000000000000004,1.7,0.0,
5371.8351407071095,6551.018464276964,0.0,0.0,19.999999999999996,1.7,0.0,
6320.8066984639145,7708.300851785262,0.0,0.0,20.000000000000004,1.1,0.0,
7020.39932840914,8561.462595620904,0.0,0.0,20.000000000000007,1.1,0.0,
7601.027305027794,9269.545493936334,0.0,0.0,20.0,1.1,0.0,
8082.920385088834,9857.219981815651,0.0,0.0,19.999999999999996,1.1,0.0,
8603.150849215479,10491.647377092047,0.0,0.0,20.000000000000025,0.6,0.0,
8913.766652296947,10870.447136947496,0.0,0.0,20.000000000000007,0.6,364.89763311871195,
8835.622144070192,10775.148956183162,0.0,0.0,19.999999999999996,0.6,2900.369658025294,
7837.689781129221,9558.158269669782,0.0,0.0,19.999999999999996,0.0,10925.468089487482,
6600.905967827983,8049.885326619492,0.0,0.0,20.000000000000004,1.1,10725.808788441931,
4753.459661897154,5796.902026703846,0.0,0.0,20.000000000000004,1.1,18238.653905365176,
2687.739964741218,3277.7316643185586,0.0,0.0,20.0,2.2,19696.148779351948,
1088.4432155944762,1327.369775115215,0.0,0.0,19.999999999999996,2.8,18833.339795186737,
396.6326722028236,483.69838073515075,0.0,0.0,19.999999999999993,2.8,14721.920765144874,
1041.035605976016,1269.5556170439222,0.0,0.0,19.999999999999996,2.2,6844.128436133388,
2689.204870720895,3279.518135025482,0.0,0.0,19.999999999999996,1.1,309.7708878792075,
4267.799182153449,5204.63314896762,0.0,0.0,20.0,0.0,0.0,
5684.398288150312,6932.193034329649,0.0,0.0,19.999999999999993,-1.1,0.0,
6963.38094904712,8491.92798664283,0.0,0.0,19.99999999999999,-2.2,0.0,
8128.148630186077,9912.376378275703,0.0,0.0,19.99999999999998,-3.3,0.0,
9198.123413633362,11217.223675162637,0.0,0.0,20.000000000000007,-4.4,0.0,
10213.481198789847,12455.464876572983,0.0,0.0,19.999999999999996,-5.6,0.0,
