HeatingDemand,HeatingEnergy,CoolingDemand,CoolingEnergy,IndoorAir,OutsideTemp,SolarGains,COP
2963.193900817195,3613.651098557555,0.0,0.0,19.999999999999996,1.7,0.0,
3640.4558524926806,4439.580307917903,0.0,0.0,20.0,1.7,0.0,
4309.010756700307,5254.891166707692,0.0,0.0,19.999999999999996,1.1,0.0,
4813.302958737807,5869.881656997326,0.0,0.0,19.999999999999993,1.1,0.0,
5238.77063894433,6388.744681639428,0.0,0.0,19.99999999999999,1.1,0.0,
5597.734640705484,6826.505659396932,0.0,0.0,20.0,1.1,0.0,
5981.551552382644,7294.575063881274,0.0,0.0,20.0,0.6,0.0,
6230.467625726157,7598.131250885558,0.0,0.0,20.000000000000004,0.6,239.9064193753794,
6258.676502182761,7632.532319735075,0.0,0.0,20.000000000000014,0.6,1906.8835650558249,
5776.373689467332,7044.358157886991,0.0,0.0,20.000000000000007,0.0,7183.082846953385,
4983.502026284127,6077.441495468448,0.0,0.0,20.0,1.1,7051.814393388912,
3911.2640371871094,4769.834191691597,0.0,0.0,20.000000000000004,1.1,11991.226457858214,
2576.74661664845,3142.3739227420124,0.0,0.0,20.0,2.2,12949.474319012144,
1493.208550511948,1820.9860372096928,0.0,0.0,20.0,2.8,12382.209981814749,
939.0637555935408,1145.1997019433425,0.0,0.0,20.0,2.8,9679.107170160587,
1193.5880210406776,1455.5951476105827,0.0,0.0,20.0,2.2,4499.756090014981,
2135.093747590333,2603.77286291504,0.0,0.0,20.0,1.1,203.66266534169483,
3151.0543042672953,3842.749151545482,0.0,0.0,20.0,0.0,0.0,
4083.009436620252,4979.279800756405,0.0,0.0,20.000000000000007,-1.1,0.0,
4937.843709002764,6021.760620735078,0.0,0.0,20.000000000000004,-2.2,0.0,
5727.611670118584,6984.89228063242,0.0,0.0,20.0,-3.3,0.0,
6462.483655444184,7881.0776285904685,0.0,0.0,19.999999999999996,-4.4,0.0,
7167.2326197943585,8740.527585115073,0.0,0.0,20.0,-5.6,0.0,
7820.414237870696,9537.090533988654,0.0,0.0,19.999999999999993,-6.7,0.0,
8261.933833967489,10075.529065814011,0.0,0.0,20.0,-6.7,0.0,
8715.402302952354,10628.539393844336,0.0,0.0,20.0,-7.2,0.0,
9145.341990169547,11152.85608557262,0.0,0.0,20.0,-7.8,0.0,
9448.316261006226,11522.33690366613,0.0,0.0,19.999999999999996,-7.8,0.0,
9703.933460031585,11834.06519516047,0.0,0.0,20.000000000000004,-7.8,0.0,
10000.557422384698,12195.801734615487,0.0,0.0,19.999999999999996,-8.3,0.0,
10083.125026929805,12296.49393528025,0.0,0.0,20.000000000000018,-8.3,0.0,
8779.793515718487,10707.065263071327,0.0,0.0,19.99999999999999,-8.3,994.1147502884019,
4217.99163886488,5143.892242518146,0.0,0.0,20.000000000000004,-7.2,5007.632061557547,
2367.901187331807,2887.6843747948865,0.0,0.0,19.999999999999996,-5.6,7434.302576159313,
1022.4891355477379,1246.9379701801681,0.0,0.0,20.0,-4.4,6402.8101031586675,
59.32949570621991,72.35304354417063,0.0,0.0,20.0,-3.3,4502.015922656492,
3766.3126321780974,4593.064185583045,0.0,0.0,20.0,-1.7,5503.235842144108,
0.0,0.0,0.0,0.0,20.79631717108823,-1.1,11051.950815164559,
0.0,0.0,0.0,0.0,21.27635787063044,-1.1,6282.331031268075,
0.0,0.0,0.0,0.0,21.510690768537888,-1.7,3464.523843301923,
0.0,0.0,0.0,0.0,21.451526435059005,-1.7,189.15834632255155,
1395.2727490380098,1701.5521329731828,0.0,0.0,20.000000000000004,-1.7,0.0,
2963.3316469605084,3613.819081659157,0.0,0.0,20.0,-1.7,0.0,
3852.4553505395156,4698.116281145751,0.0,0.0,20.000000000000004,-1.7,0.0,
4505.448684351898,5494.44961506329,0.0,0.0,20.000000000000004,-1.1,0.0,
5035.175581841604,6140.458026636103,0.0,0.0,19.99999999999999,-0.6,0.0,
5531.904606196791,6746.225129508282,0.0,0.0,20.0,-0.6,0.0,
5950.991288143786,7257.3064489558365,0.0,0.0,19.999999999999996,-0.6,0.0,
6207.417789478999,7570.021694486585,0.0,0.0,20.000000000000004,0.0,0.0,
6483.525703208484,7906.738662449371,0.0,0.0,19.999999999999996,0.0,0.0,
6619.322052844901,8072.3439668840265,0.0,0.0,19.999999999999986,0.6,0.0,
6793.655180847301,8284.945342496709,0.0,0.0,20.000000000000004,0.6,0.0,
6859.777196927704,8365.58194747281,0.0,0.0,19.999999999999993,1.1,0.0,
6965.366138948335,8494.348949936995,0.0,0.0,20.0,1.1,0.0,
6936.561155493632,8459.2209213337,0.0,0.0,20.0,1.1,0.0,
5628.764970982781,6864.347525588758,0.0,0.0,20.000000000000004,1.1,138.8528366463539,
1429.4865943305028,1743.2763345493938,0.0,0.0,20.000000000000004,1.7,1676.4098243765702,
205.94734590871522,251.15529988867712,0.0,0.0,20.000000000000004,1.7,3764.0012304940756,
0.0,0.0,0.0,0.0,20.326096105143115,2.2,3761.2584445209754,
0.0,0.0,0.0,0.0,20.646498605293548,2.2,2645.9250072260065,
2451.826329909616,2990.0321096458733,0.0,0.0,20.000000000000004,2.8,2500.083168735034,
0.0,0.0,0.0,0.0,20.949159787544474,3.3,2186.81116229572,
0.0,0.0,0.0,0.0,21.214444439211146,3.3,1605.2700851096006,
0.0,0.0,0.0,0.0,21.429152649820303,3.3,815.9898789357983,
0.0,0.0,0.0,0.0,21.510487038595556,3.9,115.71069720529493,
737.7486552459638,899.693482007273,0.0,0.0,20.0,5.0,0.0,
