HeatingDemand,HeatingEnergy,CoolingDemand,CoolingEnergy,IndoorAir,OutsideTemp,SolarGains,COP
4395.722491109389,5360.637184279743,0.0,0.0,19.999999999999996,1.7,0.0,
5309.593684122167,6475.1142489294725,0.0,0.0,20.000000000000004,1.7,0.0,
6216.840689239091,7581.513035657429,0.0,0.0,20.000000000000007,1.1,0.0,
6884.04851550392,8395.181116468195,0.0,0.0,20.0,1.1,0.0,
7441.198086588233,9074.63181291248,0.0,0.0,19.999999999999986,1.1,0.0,
7906.443895075296,9642.004750091824,0.0,0.0,19.99999999999999,1.1,0.0,
8415.047494162329,10262.253041661377,0.0,0.0,20.00000000000001,0.6,0.0,
8717.028872852514,10630.523015673798,0.0,0.0,20.000000000000014,0.6,440.09031338183274,
8628.841414874543,10522.977335212858,0.0,0.0,20.000000000000007,0.6,3498.034725010815,
7580.566847778583,9244.59371680315,0.0,0.0,20.000000000000007,0.0,13176.826153272179,
6135.381104999724,7482.172079267956,0.0,0.0,19.99999999999999,1.1,12936.024031275,
4124.274655071396,5029.603237891947,0.0,0.0,20.0,1.1,21997.004596255192,
1765.5726958486614,2153.1374339617823,0.0,0.0,20.000000000000004,2.2,23754.83834914385,
0.0,0.0,0.0,0.0,20.05076145598291,2.8,22714.2345146257,
0.0,0.0,0.0,0.0,20.46579594803959,2.8,17755.595364487654,
0.0,0.0,0.0,0.0,20.290297389712542,2.2,8254.464690659017,
985.5343340831843,1201.8711391258346,0.0,0.0,19.999999999999996,1.1,373.60386790718854,
2770.5794132570877,3378.755382020839,0.0,0.0,20.0,0.0,0.0,
4369.000575690195,5328.049482549018,0.0,0.0,19.999999999999996,-1.1,0.0,
5802.273376478956,7075.943142047508,0.0,0.0,20.000000000000007,-2.2,0.0,
7097.639613175738,8655.658064848461,0.0,0.0,20.0,-3.3,0.0,
8277.847453929142,10094.935919425783,0.0,0.0,20.000000000000007,-4.4,0.0,
9385.913018789084,11446.235388767176,0.0,0.0,19.999999999999982,-5.6,0.0,
10394.651815169871,12676.404652646184,0.0,0.0,19.999999999999996,-6.7,0.0,
11071.288654066284,13501.571529349127,0.0,0.0,19.99999999999999,-6.7,0.0,
11756.413596709752,14337.089752085065,0.0,0.0,19.999999999999996,-7.2,0.0,
12397.325488186478,15118.689619739607,0.0,0.0,20.00000000000001,-7.8,0.0,
12842.131105592243,15661.135494624688,0.0,0.0,20.000000000000004,-7.8,0.0,
13213.564486913485,16114.103032821324,0.0,0.0,20.000000000000007,-7.8,0.0,
13643.830345494029,16638.817494504914,0.0,0.0,20.00000000000001,-8.3,0.0,
13818.153293605914,16851.40645561697,0.0,0.0,19.99999999999999,-8.3,0.0,
12586.528847540967,15349.42542383045,0.0,0.0,19.999999999999982,-8.3,1823.6288680019543,
7813.989343268782,9529.255296669247,0.0,0.0,20.0,-7.2,9186.125027457028,
5279.220503887257,6438.073785228363,0.0,0.0,20.0,-5.6,13637.669884097677,
3408.7382894657344,4156.997913982603,0.0,0.0,19.999999999999996,-4.4,11745.474390222356,
2186.0844027590597,2665.9565887305607,0.0,0.0,20.000000000000007,-3.3,8258.610183964209,
5221.441241336202,6367.6112699221985,0.0,0.0,20.0,-1.7,10095.272951382669,
0.0,0.0,0.0,0.0,20.392444271215705,-1.1,20273.9739536354,
0.0,0.0,0.0,0.0,20.93521167841837,-1.1,11524.464578803676,
0.0,0.0,0.0,0.0,21.047827808685764,-1.7,6355.408862702776,
0.0,0.0,0.0,0.0,20.729275084648368,-1.7,346.9967836985034,
3420.15710755409,4170.923301895232,0.0,0.0,19.999999999999996,-1.7,0.0,
5200.4129225135575,6341.96697867507,0.0,0.0,19.999999999999996,-1.7,0.0,
6286.054028100678,7665.919546464242,0.0,0.0,20.000000000000007,-1.7,0.0,
7048.4928025695845,8595.722929962909,0.0,0.0,20.000000000000007,-1.1,0.0,
7655.448562740924,9335.912881391372,0.0,0.0,20.00000000000001,-0.6,0.0,
8237.606210037362,10045.86123175288,0.0,0.0,20.000000000000004,-0.6,0.0,
8723.734925448964,10638.701128596298,0.0,0.0,20.000000000000007,-0.6,0.0,
8985.552966920863,10957.991423074223,0.0,0.0,20.0,0.0,0.0,
9294.568835337535,11334.840043094557,0.0,0.0,20.00000000000001,0.0,0.0,
9408.489410904122,11473.767574273319,0.0,0.0,20.000000000000004,0.6,0.0,
9594.004015621686,11700.004897099618,0.0,0.0,20.0,0.6,0.0,
9628.815632638181,11742.45808858315,0.0,0.0,20.00000000000001,1.1,0.0,
9733.206306274113,11869.763788139162,0.0,0.0,20.000000000000004,1.1,0.0,
9710.729670507531,11842.353256716502,0.0,0.0,20.000000000000004,1.1,0.0,
8483.766112518471,10346.056234778624,0.0,0.0,19.999999999999986,1.1,254.71510330048952,
4363.555211912931,5321.408795015769,0.0,0.0,20.000000000000007,1.7,3075.2479524605105,
2862.683936201272,3491.0779709771614,0.0,0.0,20.0,1.7,6904.777643760463,
1594.8879999203575,1944.9853657565336,0.0,0.0,19.999999999999996,2.2,6899.7462088301945,
832.0533389984786,1014.6991939005837,0.0,0.0,20.0,2.2,4853.750761012039,
4516.633026816608,5508.089057093425,0.0,0.0,20.0,2.8,4586.214858584822,
38.72943882113344,47.23102295260176,0.0,0.0,20.000000000000004,3.3,4011.540884263558,
0.0,0.0,0.0,0.0,20.128190278994445,3.3,2944.747442180644,
0.0,0.0,0.0,0.0,20.184499521859735,3.3,1496.8721657062633,
0.0,0.0,0.0,0.0,20.103213572249825,3.9,212.2625860837413,
