Date/Time	Sensible Cooling	Mech Vent + Nat Vent + Infiltration	External Infiltration	Total Cooling	Zone Heating	General Lighting	Computer + Equip	Occupancy	Solar Gains Exterior Windows	Zone Sensible Heating	Zone Sensible Cooling	Air Temperature	Radiant Temperature	Operative Temperature	Room Electricity	Lighting	Heating (Electricity)	Cooling (Electricity)	Outside Dry-Bulb Temperature
	kWh	ac/h	kWh	kWh	kWh	kWh	kWh	kWh	kWh	kWh	kWh	¡C	¡C	¡C	kWh	kWh	kWh	kWh	¡C
00:00:00	-2710.224	1.052856	-2866.098	-2990.817	1385.648	497.625	1346.09	583.4164	6320.744	826.0475	-3232.073	23.05106	24.57932	23.81519	1346.09	497.625	1385.648	2990.817	10.29719
